"Instance  Ins.","Status  Sta.","Variables  Var.","Binaries  Bin.","Integers  Int.","Continuous  Con.","Constraints  Con.","Nonz.  Non.","Submitter  Sub.","Group  Gro.","Objective  Obj.","Tags  Tag."
"peg-solitaire-a3","easy","4552","4552","0","0","4587","28387","Hiroshige Dan ; Koichi Fujii","pegsolitaire","1","benchmark binary benchmark_suitable aggregations variable_bound set_partitioning cardinality binpacking"
"eil33-2","easy","4516","4516","0","0","32","44243","J. Linderoth","eil","934.007915999999","benchmark binary benchmark_suitable set_partitioning"
"bnatt500","hard","4500","4500","0","0","7029","27203","Tatsuya Akutsu","bnatt","Infeasible","benchmark infeasible binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack"
"rococoB10-011000","easy","4456","4320","136","0","1667","16517","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","19449","benchmark decomposition benchmark_suitable precedence set_partitioning cardinality general_linear"
"cost266-UUE","easy","4161","171","0","3990","1446","12312","MIPLIB submission pool","network_design","25148940.55999998","benchmark decomposition benchmark_suitable aggregations set_packing mixed_binary"
"qap10","easy","4150","4150","0","0","1820","18200","MIPLIB submission pool","--","339.9999999983871","benchmark binary benchmark_suitable set_partitioning"
"neos-4387871-tavua","hard","4004","2000","0","2004","4554","23496","Jeff Linderoth","neos-pseudoapplication-58","33.384729927","benchmark benchmark_suitable variable_bound binpacking mixed_binary"
"b1c1s1","easy","3872","288","0","3584","3904","11408","M. Vyve, Y. Pochet","c1s1","24544.25","benchmark benchmark_suitable aggregations variable_bound mixed_binary"
"fhnw-binpack4-48","hard","3710","3605","0","105","4480","17290","Simon Felix","binpack","0","benchmark feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"bnatt400","easy","3600","3600","0","0","5614","21698","Tatsuya Akutsu","bnatt","1","benchmark binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack"
"neos-3216931-puriri","easy","3555","3268","0","287","5989","91691","Jeff Linderoth","neos-pseudoapplication-56","71320","benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack binpacking knapsack general_linear"
"cvs16r128-89","easy","3472","3472","0","0","4633","12528","Michael Bastubbe","cvs","-97","benchmark binary decomposition benchmark_suitable precedence set_packing invariant_knapsack"
"wachplan","easy","3361","3360","1","0","1553","89361","Sebastian Orlowski","--","-8","benchmark benchmark_suitable variable_bound set_partitioning set_packing set_covering invariant_knapsack mixed_binary general_linear"
"neos-3024952-loue","easy","3255","0","3255","0","3705","17310","Jeff Linderoth","neos-pseudoapplication-86","26756","benchmark decomposition benchmark_suitable precedence integer_knapsack general_linear"
"splice1k1","hard","3253","3252","1","0","6505","1761016","Gleb Belov","splice","-394","benchmark benchmark_suitable set_covering binpacking general_linear"
"rococoC10-001000","easy","3117","2993","124","0","1293","11751","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","11460","benchmark benchmark_suitable precedence set_partitioning cardinality general_linear"
"neos-5107597-kakapo","easy","3114","2976","0","138","6498","19392","Jeff Linderoth","neos-pseudoapplication-54","3644.99999999952","benchmark benchmark_suitable aggregations precedence mixed_binary"
"mc11","easy","3040","1520","0","1520","1920","6080","F. Ortega, L. Wolsey","mc","11688.99999999966","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"lotsize","easy","2985","1195","0","1790","1920","6565","Dinakar Gade, Simge Kucukyavuz","--","1480195","benchmark decomposition benchmark_suitable variable_bound set_packing invariant_knapsack mixed_binary"
"neos-3402294-bobin","easy","2904","2616","0","288","591076","2034888","Jeff Linderoth","neos-pseudoapplication-71","0.06724999999999949","benchmark benchmark_suitable precedence set_partitioning set_covering invariant_knapsack mixed_binary"
"neos-3402454-bohle","hard","2904","2616","0","288","2897380","8953800","Jeff Linderoth","neos-pseudoapplication-4","Infeasible","benchmark infeasible benchmark_suitable precedence set_partitioning set_covering invariant_knapsack mixed_binary"
"ns1208400","easy","2883","2880","0","3","4289","81746","NEOS Server Submission","neos-pseudoapplication-108","2","benchmark benchmark_suitable variable_bound set_partitioning set_covering invariant_knapsack mixed_binary general_linear"
"pg","easy","2700","100","0","2600","125","5200","M. Dawande","--","-8674.34260712","benchmark decomposition benchmark_suitable mixed_binary"
"milo-v12-6-r2-40-1","easy","2688","840","0","1848","5628","14604","Tamas Terlaky","milo","326481.14282799","benchmark decomposition benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear"
"hypothyroid-k1","easy","2602","2601","1","0","5195","433884","Gleb Belov","hypothyroid","-2851","benchmark benchmark_suitable aggregations precedence set_covering binpacking general_linear"
"pg5_34","easy","2600","100","0","2500","225","7700","M. Dawande","--","-14339.35345","benchmark decomposition benchmark_suitable mixed_binary"
"n5-3","easy","2550","0","150","2400","1062","9900","A. Atamtürk","nxy-z","8104.999999993999","benchmark decomposition benchmark_suitable aggregations mixed_binary general_linear"
"beasleyC3","easy","2500","1250","0","1250","1750","5000","F. Ortega, L. Wolsey","beasley","753.9999999999128","benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"icir97_tension","easy","2494","262","573","1659","1203","22333","MIPLIB submission pool","--","6375","benchmark benchmark_suitable aggregations mixed_binary general_linear"
"app1-1","easy","2480","1225","0","1255","4926","18275","Emilie Danna","app","-3","benchmark benchmark_suitable precedence variable_bound set_covering mixed_binary"
"p200x1188c","easy","2376","1188","0","1188","1388","4752","MIPLIB submission pool","pr_product","15078","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"neos-3381206-awhea","easy","2375","475","1900","0","479","4275","Jeff Linderoth","neos-pseudoapplication-105","453","benchmark decomposition benchmark_suitable integer_knapsack general_linear"
"neos-1171737","easy","2340","1170","0","1170","4179","58620","NEOS Server Submission","neos-pseudoapplication-80","-195","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"binkar10_1","easy","2298","170","0","2128","1026","4496","H. Mittelmann","--","6742.1998835","benchmark benchmark_suitable aggregations mixed_binary"
"uct-subprob","easy","2256","379","0","1877","1973","10147","Gerald Lach","--","314","benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing mixed_binary"
"graph20-20-1rand","easy","2183","2183","0","0","5587","19277","Michael Bastubbe","graphs","-9","benchmark binary decomposition benchmark_suitable precedence set_partitioning invariant_knapsack"
"50v-10","easy","2013","1464","183","366","233","2745","Serge Bisaillon","--","3311.1799841","benchmark decomposition benchmark_suitable mixed_binary general_linear"
"gmu-35-50","easy","1919","1914","0","5","435","8643","Nora Konnyu","gmu","-2607958.33","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"csched007","easy","1758","1457","0","301","351","6379","Tallys Yunes","csched","350.9999999999955","benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear"
"mcsched","easy","1747","1745","0","2","2107","8088","Q. Chen","--","211913","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack general_linear"
"ns1830653","easy","1629","1458","0","171","2932","100933","NEOS Server Submission","neos-pseudoapplication-110","20622","benchmark benchmark_suitable variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"csched008","easy","1536","1284","0","252","351","5687","Tallys Yunes","csched","173","benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear"
"neos-4954672-berkel","hard","1533","630","0","903","1848","8007","Jeff Linderoth","neos-pseudoapplication-43","2612710","benchmark benchmark_suitable aggregations variable_bound mixed_binary"
"neos-3627168-kasai","easy","1462","535","0","927","1655","5158","Jeff Linderoth","neos-pseudoapplication-25","988585.6199999998","benchmark decomposition benchmark_suitable variable_bound invariant_knapsack mixed_binary general_linear"
"bppc4-08","easy","1456","1454","0","2","111","23964","Manuel Iori","bppc","53","benchmark benchmark_suitable set_partitioning mixed_binary"
"neos-860300","easy","1385","1384","0","1","850","384329","NEOS Server Submission","neos-pseudoapplication-23","3200.999999999998","benchmark benchmark_suitable set_partitioning set_packing set_covering invariant_knapsack general_linear"
"seymour","easy","1372","1372","0","0","4944","33549","W. Cook, P. Seymour","--","423","benchmark binary benchmark_suitable variable_bound set_covering"
"seymour1","easy","1372","451","0","921","4944","33549","MIPLIB submission pool","--","410.76370139","benchmark benchmark_suitable variable_bound set_covering mixed_binary"
"neos-4338804-snowy","hard","1344","1260","42","42","1701","6342","Jeff Linderoth","neos-pseudoapplication-40","1471","benchmark benchmark_suitable precedence set_covering mixed_binary general_linear"
"gmu-35-40","easy","1205","1200","0","5","424","4843","Nora Konnyu","gmu","-2406733.3688","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"roll3000","easy","1166","246","492","428","2295","29386","L. Kroon","--","12889.999992","benchmark benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking integer_knapsack mixed_binary general_linear"
"reblock115","easy","1150","1150","0","0","4735","13724","Andreas Bley","reblock","-36800603.2332","benchmark binary benchmark_suitable precedence knapsack"
"tr12-30","easy","1080","360","0","720","750","2508","MIPLIB submission pool","--","130595.9999999999","benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"cod105","easy","1024","1024","0","0","1024","57344","MIPLIB submission pool","--","-12","benchmark binary benchmark_suitable set_packing"
"sorrell3","hard","1024","1024","0","0","169162","338324","Toni Sorrell","independentset","-16","benchmark binary benchmark_suitable variable_bound"
"exp-1-500-5-5","easy","990","250","0","740","550","1980","MIPLIB submission pool","exp_and_fc","65887","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"neos-911970","easy","888","840","0","48","107","3408","NEOS Server Submission","neos-pseudoapplication-70","54.76","benchmark benchmark_suitable set_partitioning set_covering mixed_binary"
"fastxgemm-n2r6s0t2","easy","784","48","0","736","5998","19376","Laurent Sorber","fastxgemm","230","benchmark decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear"
"ic97_potential","easy","728","450","73","205","1046","3138","L. Peeters","--","3941.99993090225","benchmark benchmark_suitable precedence mixed_binary general_linear"
"rd-rplusc-21","easy","622","457","0","165","125899","852384","MIPLIB submission pool","--","165395.275295","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary"
"sp150x300d","easy","600","300","0","300","450","1200","MIPLIB submission pool","sp_product","69","benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"neos17","easy","535","300","0","235","486","4931","NEOS Server Submission","neos-pseudoapplication-66","0.1500025774","benchmark benchmark_suitable mixed_binary"
"neos-2657525-crna","easy","524","146","378","0","342","1690","Jeff Linderoth","neos-pseudoapplication-7","1.810748","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning integer_knapsack general_linear"
"fhnw-binpack4-4","hard","520","481","0","39","620","2332","Simon Felix","binpack","Infeasible","benchmark infeasible feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"ran14x18-disj-8","easy","504","252","0","252","447","10277","J. Aronson","ran","3712","benchmark benchmark_suitable variable_bound set_covering mixed_binary"
"supportcase26","easy","436","396","0","40","870","2492","Michael Winkler","--","1745.123813","benchmark benchmark_suitable precedence mixed_binary"
"timtab1","easy","397","77","94","226","171","829","C. Liebchen, R. Möhring","timtab","764771.99999978","benchmark benchmark_suitable aggregations mixed_binary general_linear"
"glass4","easy","322","302","0","20","396","1815","I. Luzzi","--","1200012599.972384","benchmark benchmark_suitable precedence set_partitioning mixed_binary"
"neos-3046615-murg","easy","274","240","16","18","498","1266","Jeff Linderoth","neos-pseudoapplication-90","1600","benchmark benchmark_suitable aggregations variable_bound mixed_binary general_linear"
"mik-250-20-75-4","easy","270","75","175","20","195","9270","MIPLIB submission pool","mik_250","-52301","benchmark benchmark_suitable general_linear"
"graphdraw-domain","easy","254","180","20","54","865","2600","Cézar Augusto Nascimento e Silva","graphdraw","19685.99997550038","benchmark benchmark_suitable variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"neos-3754480-nidda","hard","253","50","0","203","402","1488","Jeff Linderoth","neos-pseudoapplication-107","12941.73838561778","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"mad","easy","220","200","0","20","51","2808","Koichi Fujii","--","0.0268","benchmark benchmark_suitable set_partitioning set_packing invariant_knapsack mixed_binary"
"glass-sc","easy","214","214","0","0","6119","63918","Marc Pfetsch","maxfeassub","23","benchmark binary benchmark_suitable set_covering"
"enlight_hard","easy","200","100","100","0","100","560","A. Zymolka","enlight","37","benchmark benchmark_suitable equation_knapsack general_linear"
"neos859080","easy","160","80","80","0","164","1280","NEOS Server Submission","neos-pseudoapplication-96","Infeasible","benchmark infeasible benchmark_suitable variable_bound general_linear"
"assign1-5-8","easy","156","130","0","26","161","3720","Robert Fourer","assign1","211.999999999998","benchmark benchmark_suitable set_partitioning cardinality mixed_binary"
"mas74","easy","151","150","0","1","13","1706","MIPLIB submission pool","--","11801.18572","benchmark benchmark_suitable invariant_knapsack mixed_binary"
"mas76","easy","151","150","0","1","12","1640","MIPLIB submission pool","--","40005.05398999999","benchmark benchmark_suitable invariant_knapsack mixed_binary"
"pk1","easy","86","55","0","31","45","915","MIPLIB submission pool","--","11","benchmark benchmark_suitable precedence mixed_binary"
"markshare2","hard","74","60","0","14","7","434","G. Cornuéjols, M. Dawande","markshare","1","benchmark benchmark_suitable integer_knapsack general_linear"
"neos5","easy","63","53","0","10","63","2016","NEOS Server Submission","neos-pseudoapplication-21","15","benchmark benchmark_suitable mixed_binary"
"gen-ip002","easy","41","0","41","0","24","922","Simon Bowly","generated","-4783.733392","benchmark benchmark_suitable general_linear"
"markshare_4_0","easy","34","30","0","4","4","123","G. Cornuéjols, M. Dawande","markshare","1","benchmark benchmark_suitable integer_knapsack general_linear"
"gen-ip054","easy","30","0","30","0","27","532","Simon Bowly","generated","6840.96564179","benchmark benchmark_suitable variable_bound general_linear"
